edge_id,from_id,to_id
0,8,2
1,7,9
2,6,1
3,11,8
4,16,10
5,18,16
6,12,9
7,17,1
8,5,19
9,14,18
10,13,3
11,0,12
12,4,1
13,15,8
14,22,2
15,22,8
16,23,6
17,23,14
18,25,11
19,25,22
20,26,1
21,27,8
22,27,14
23,28,5
24,31,5
25,31,27
26,33,2
27,35,12
28,35,13
29,37,6
30,38,5
31,39,1
32,40,9
33,40,15
34,41,18
35,42,19
36,43,33
37,46,1
38,47,25
39,48,9
40,48,19
41,49,27
42,49,48
43,54,13
44,54,19
45,54,22
46,55,5
47,57,1
48,57,27
49,60,14
50,60,26
51,60,48
52,62,22
53,62,31
54,63,1
55,63,16
56,64,5
57,64,19
58,64,28
59,64,40
60,66,54
61,67,27
62,68,33
63,68,48
64,68,60
65,69,64
66,70,1
67,71,27
68,74,9
69,74,26
70,74,48
71,76,1
72,76,12
73,76,42
74,76,46
75,76,71
76,77,1
77,77,9
78,77,19
79,77,35
80,78,5
81,79,35
82,79,64
83,81,23
84,83,77
85,83,78
86,84,28
87,85,33
88,85,48
89,85,76
90,86,8
91,87,27
92,88,5
93,88,27
94,88,33
95,89,35
96,90,35
97,90,76
98,94,13
99,94,48
100,96,5
101,96,19
102,97,27
103,98,2
