edge_id,from_id,to_id
0,4,1
1,13,6
2,14,1
3,5,17
4,3,16
5,19,0
6,9,11
7,2,18
8,10,19
9,8,12
10,7,17
11,15,5
12,25,9
13,25,12
14,26,1
15,27,5
16,32,5
17,32,9
18,33,2
19,33,3
20,35,5
21,35,33
22,38,10
23,39,10
24,39,15
25,41,3
26,42,5
27,42,10
28,43,1
29,43,13
30,45,1
31,46,27
32,47,32
33,47,45
34,48,27
35,52,35
36,53,33
37,55,10
38,55,17
39,56,5
40,56,26
41,58,5
42,60,47
43,61,4
44,61,5
45,62,5
46,63,5
47,66,58
48,68,5
49,70,5
50,71,10
51,75,35
52,76,5
53,76,26
54,76,41
55,78,32
56,80,5
57,84,17
58,85,39
59,86,18
60,86,35
61,87,27
62,88,5
63,88,11
64,89,5
65,89,15
66,90,11
67,92,1
68,94,80
69,96,5
70,96,33
71,98,1
72,98,17
73,98,70
74,99,1
75,99,17
76,101,15
77,101,18
78,104,3
79,104,92
80,109,88
81,111,11
82,112,78
83,114,104
84,115,5
85,115,85
86,116,43
87,118,98
88,119,33
89,120,17
90,122,5
91,122,109
92,122,118
93,123,5
94,123,33
95,124,5
96,126,2
97,127,85
98,128,3
99,131,17
100,131,104
101,131,120
102,134,43
103,136,9
104,137,5
105,138,45
106,139,18
107,139,70
108,140,48
109,142,52
110,142,101
111,143,96
112,145,101
113,146,1
114,146,3
115,146,47
116,146,68
117,147,47
118,147,94
119,148,27
120,148,143
121,149,3
122,149,84
123,149,104
